hhnum,k15,k14,k13,k12,k11,k10,k9,k8,k7,k6,k5,k4,k3,k2,k1
100693,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
100697,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
100700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100720,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100742,10,10,10,10,10,10,10,7,7,6,5,4,2,2,1
100753,9,9,9,9,9,9,7,7,7,6,5,4,2,2,1
100768,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100781,6,6,6,6,6,6,6,6,6,6,5,4,2,2,1
100783,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100792,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
100796,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
100799,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100805,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
100810,10,10,10,10,10,10,10,7,7,6,5,4,2,2,1
100816,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100841,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100843,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
100845,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100875,14,14,14,14,9,9,7,7,7,6,5,4,2,2,1
100885,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100888,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100900,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100901,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100905,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
100917,,,,,,,,,,,,,,,
100929,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100934,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100953,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100958,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100984,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100985,,,,,,,,,,,,,,,
100992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101018,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
101020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101046,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
101056,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101061,,,,,,,,,,,,,,,
101062,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101063,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101125,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
101130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101134,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
101141,,,,,,,,,,,,,,,
101148,,,,,,,,,,,,,,,
101151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101154,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101180,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
101195,,,,,,,,,,,,,,,
101196,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
101203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101210,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101218,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101244,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101253,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101267,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101268,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101291,12,12,12,11,11,7,7,7,7,6,5,4,2,2,1
101292,,,,,,,,,,,,,,,
101323,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
101326,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101339,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101343,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101347,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101359,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101372,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101374,,,,,,,,,,,,,,,
101386,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
101389,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101396,10,10,10,10,10,10,10,7,7,6,5,4,2,2,1
101399,6,6,6,6,6,6,6,6,6,6,5,4,2,2,1
101400,,,,,,,,,,,,,,,
101426,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101451,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101456,14,14,14,14,9,9,7,7,7,6,5,4,2,2,1
101460,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101469,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101481,9,9,9,9,9,9,7,7,7,6,5,4,2,2,1
101494,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101501,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101502,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101503,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
101521,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
101525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101531,,,,,,,,,,,,,,,
101537,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101541,9,9,9,9,9,9,7,7,7,6,5,4,2,2,1
101560,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101570,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101574,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101580,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
101581,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101590,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101591,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101599,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101603,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101609,6,6,6,6,6,6,6,6,6,6,5,4,2,2,1
101618,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101626,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101637,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
101640,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101663,,,,,,,,,,,,,,,
101668,,,,,,,,,,,,,,,
101670,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101678,7,7,7,7,7,7,7,7,7,6,5,4,2,2,1
101680,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101713,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101719,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101729,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101738,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101756,14,14,14,14,9,9,7,7,7,6,5,4,2,2,1
101758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101759,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
101761,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101763,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101776,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101777,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
101785,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101790,,,,,,,,,,,,,,,
101797,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101803,,,,,,,,,,,,,,,
101812,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101828,,,,,,,,,,,,,,,
101829,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101831,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101833,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
101844,,,,,,,,,,,,,,,
101845,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101856,,,,,,,,,,,,,,,
101857,6,6,6,6,6,6,6,6,6,6,5,4,2,2,1
101862,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101870,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101874,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101880,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
101881,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101888,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101889,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101906,9,9,9,9,9,9,7,7,7,6,5,4,2,2,1
101923,,,,,,,,,,,,,,,
101932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101935,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101941,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101945,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
101953,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101955,9,9,9,9,9,9,7,7,7,6,5,4,2,2,1
101972,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
101973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102027,,,,,,,,,,,,,,,
102045,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
102047,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
102056,,,,,,,,,,,,,,,
102062,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
102064,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
102080,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
102086,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
102089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102092,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
102098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
