k,rationality,total_loss,avg_loss,n_groups_used,best_restart
1,0.8625008269434411,297.960708013563,0.13749917305655884,1,0
2,0.9053716352652336,205.0596663802388,0.09462836473476641,2,0
3,0.9550070567003508,97.49970813033984,0.04499294329964921,3,0
4,0.9691788271145791,66.78948164270696,0.030821172885420838,4,0
5,0.9842185067149564,34.198495948689576,0.015781493285043642,5,0
6,0.9850490874187418,32.39862756358653,0.014950912581258205,6,0
7,0.9899833477570753,21.70608541041792,0.010016652242924744,7,0
8,0.9899833477570753,21.70608541041792,0.010016652242924744,7,0
9,0.9929043310077166,15.376314706278214,0.00709566899228344,9,0
10,0.9982812821857094,3.7244615035675643,0.0017187178142905235,10,0
11,0.9982812821857094,3.7244615035675643,0.0017187178142905235,10,0
12,0.9994000937862227,1.2999967652552793,0.0005999062137772401,12,0
13,0.9997677658965854,0.5032513020993159,0.00023223410341454356,13,0
14,0.999989029112578,0.0237739130434782,1.0970887422001938e-05,14,0
15,1.0,0.0,0.0,15,-1
