k,group,size,efficiency,loss,method
11,10,15,0.9949079273767673,0.07638108934849108,tracked
12,1,1137,1.0,0.0,tracked
12,2,389,0.9995803613543897,0.16323943314240585,tracked
12,3,262,0.9989288043324055,0.28065326490975817,tracked
12,4,107,1.0,0.0,tracked
12,5,86,0.9965772370505338,0.29435761365409474,tracked
12,6,71,1.0,0.0,tracked
12,7,45,0.9945581439791874,0.24488352093656873,tracked
12,8,20,1.0,0.0,tracked
12,9,20,0.9851646557100796,0.2967068857984074,tracked
12,10,18,0.998880219621442,0.02015604681404437,tracked
12,11,6,1.0,0.0,tracked
12,12,6,1.0,0.0,tracked
13,1,1164,1.0,0.0,tracked
13,2,370,0.9998097338479963,0.07039847624135309,tracked
13,3,195,1.0,0.0,tracked
13,4,161,1.0,0.0,tracked
13,5,112,1.0,0.0,tracked
13,6,38,1.0,0.0,tracked
13,7,36,1.0,0.0,tracked
13,8,34,0.9964780029658923,0.119747899159664,tracked
13,9,17,1.0,0.0,tracked
13,10,13,0.9944768785482914,0.0718005788722118,tracked
13,11,12,1.0,0.0,tracked
13,12,8,0.9698369565217391,0.241304347826087,tracked
13,13,7,1.0,0.0,tracked
14,1,1161,1.0,0.0,tracked
14,2,360,1.0,0.0,tracked
14,3,225,1.0,0.0,tracked
14,4,132,1.0,0.0,tracked
14,5,108,1.0,0.0,tracked
14,6,93,1.0,0.0,tracked
14,7,32,1.0,0.0,tracked
14,8,16,1.0,0.0,tracked
14,9,14,1.0,0.0,tracked
14,10,9,1.0,0.0,tracked
14,11,7,0.9966037267080745,0.0237739130434782,tracked
14,12,6,1.0,0.0,tracked
14,13,2,1.0,0.0,tracked
14,14,2,1.0,0.0,tracked
15,1,1125,1.0,0.0,reference
15,2,302,1.0,0.0,reference
15,3,259,1.0,0.0,reference
15,4,180,1.0,0.0,reference
15,5,78,1.0,0.0,reference
15,6,47,1.0,0.0,reference
15,7,39,1.0,0.0,reference
15,8,31,1.0,0.0,reference
15,9,29,1.0,0.0,reference
15,10,29,1.0,0.0,reference
15,11,28,1.0,0.0,reference
15,12,9,1.0,0.0,reference
15,13,7,1.0,0.0,reference
15,14,2,1.0,0.0,reference
15,15,2,1.0,0.0,reference
