hhnum,k9,k8,k7,k6,k5,k4,k3,k2,k1
101857,1,1,1,1,1,1,1,1,1
101862,,,,,,,,,
101870,,,,,,,,,
101874,2,2,2,2,2,2,2,2,1
101880,,,,,,,,,
101881,,,,,,,,,
101888,,,,,,,,,
101889,,,,,,,,,
101896,,,,,,,,,
101906,,,,,,,,,
101923,,,,,,,,,
101932,,,,,,,,,
101935,,,,,,,,,
101941,,,,,,,,,
101945,,,,,,,,,
101953,,,,,,,,,
101955,6,6,6,6,3,3,3,2,1
101972,,,,,,,,,
101973,,,,,,,,,
101983,,,,,,,,,
102027,,,,,,,,,
102045,,,,,,,,,
102047,3,3,3,3,3,3,3,2,1
102056,,,,,,,,,
102062,,,,,,,,,
102064,,,,,,,,,
102080,2,2,2,2,2,2,2,2,1
102086,,,,,,,,,
102089,,,,,,,,,
102092,7,7,6,6,3,3,3,2,1
102098,,,,,,,,,
102106,,,,,,,,,
102115,,,,,,,,,
102121,,,,,,,,,
102123,5,5,5,5,5,4,1,1,1
102132,,,,,,,,,
102136,,,,,,,,,
102142,1,1,1,1,1,1,1,1,1
102144,,,,,,,,,
102149,,,,,,,,,
102158,,,,,,,,,
102161,,,,,,,,,
102163,,,,,,,,,
102173,,,,,,,,,
102186,,,,,,,,,
102193,,,,,,,,,
102205,,,,,,,,,
102216,,,,,,,,,
102240,,,,,,,,,
102248,,,,,,,,,
102249,,,,,,,,,
102263,,,,,,,,,
102269,2,2,2,2,2,2,2,2,1
102277,,,,,,,,,
102283,,,,,,,,,
102293,,,,,,,,,
102295,,,,,,,,,
102299,,,,,,,,,
102304,,,,,,,,,
102313,,,,,,,,,
102316,,,,,,,,,
102318,,,,,,,,,
102329,,,,,,,,,
102336,,,,,,,,,
102341,,,,,,,,,
102345,,,,,,,,,
102360,,,,,,,,,
102383,,,,,,,,,
102390,,,,,,,,,
102398,,,,,,,,,
102411,,,,,,,,,
102412,,,,,,,,,
102418,,,,,,,,,
102419,,,,,,,,,
102423,,,,,,,,,
102431,,,,,,,,,
102434,,,,,,,,,
102442,,,,,,,,,
102457,,,,,,,,,
102462,,,,,,,,,
102465,,,,,,,,,
102478,,,,,,,,,
102482,,,,,,,,,
102488,,,,,,,,,
102500,,,,,,,,,
102503,,,,,,,,,
102508,,,,,,,,,
102511,,,,,,,,,
102512,5,5,5,5,5,4,1,1,1
102530,,,,,,,,,
102531,2,2,2,2,2,2,2,2,1
102536,,,,,,,,,
102539,,,,,,,,,
102580,,,,,,,,,
102583,,,,,,,,,
102584,,,,,,,,,
102585,,,,,,,,,
102589,1,1,1,1,1,1,1,1,1
102600,,,,,,,,,
102606,,,,,,,,,
102607,,,,,,,,,
102615,,,,,,,,,
102650,,,,,,,,,
102665,,,,,,,,,
102681,,,,,,,,,
102693,,,,,,,,,
102703,,,,,,,,,
102726,,,,,,,,,
102734,,,,,,,,,
102741,1,1,1,1,1,1,1,1,1
102747,,,,,,,,,
102753,,,,,,,,,
102758,,,,,,,,,
102759,,,,,,,,,
102769,2,2,2,2,2,2,2,2,1
102770,,,,,,,,,
102778,,,,,,,,,
102791,,,,,,,,,
102794,,,,,,,,,
102796,,,,,,,,,
102805,,,,,,,,,
102815,,,,,,,,,
102826,,,,,,,,,
102841,,,,,,,,,
102846,3,3,3,3,3,3,3,2,1
102862,,,,,,,,,
102865,,,,,,,,,
102868,,,,,,,,,
102873,2,2,2,2,2,2,2,2,1
102905,,,,,,,,,
102918,,,,,,,,,
102919,,,,,,,,,
102928,,,,,,,,,
102931,,,,,,,,,
102953,,,,,,,,,
102976,,,,,,,,,
102986,,,,,,,,,
103007,,,,,,,,,
103008,,,,,,,,,
103013,,,,,,,,,
103036,,,,,,,,,
103037,,,,,,,,,
103057,,,,,,,,,
103061,7,7,6,6,3,3,3,2,1
103068,,,,,,,,,
103073,,,,,,,,,
103080,,,,,,,,,
103086,,,,,,,,,
103087,2,2,2,2,2,2,2,2,1
103089,,,,,,,,,
103094,,,,,,,,,
103097,,,,,,,,,
103106,,,,,,,,,
103115,,,,,,,,,
103118,,,,,,,,,
103126,,,,,,,,,
103128,,,,,,,,,
103143,,,,,,,,,
103147,,,,,,,,,
103152,,,,,,,,,
103153,,,,,,,,,
103157,,,,,,,,,
103164,,,,,,,,,
103165,,,,,,,,,
103173,,,,,,,,,
103186,,,,,,,,,
103200,,,,,,,,,
103202,,,,,,,,,
103203,,,,,,,,,
103211,,,,,,,,,
103216,,,,,,,,,
103218,,,,,,,,,
103234,,,,,,,,,
103243,,,,,,,,,
103244,,,,,,,,,
103245,,,,,,,,,
103253,,,,,,,,,
103273,,,,,,,,,
103274,,,,,,,,,
103295,,,,,,,,,
103303,,,,,,,,,
103312,,,,,,,,,
103317,,,,,,,,,
103318,,,,,,,,,
103331,,,,,,,,,
103333,,,,,,,,,
103334,,,,,,,,,
103338,,,,,,,,,
103345,,,,,,,,,
103347,,,,,,,,,
103382,,,,,,,,,
103401,,,,,,,,,
103409,,,,,,,,,
103410,,,,,,,,,
103412,,,,,,,,,
103413,,,,,,,,,
103425,,,,,,,,,
103439,,,,,,,,,
103440,,,,,,,,,
103442,,,,,,,,,
103447,,,,,,,,,
103458,,,,,,,,,
103474,,,,,,,,,
103478,,,,,,,,,
103488,,,,,,,,,
103524,,,,,,,,,
103531,,,,,,,,,
103534,8,8,8,5,5,4,1,1,1
103539,,,,,,,,,
103545,,,,,,,,,
103559,,,,,,,,,
103564,4,4,4,4,4,4,1,1,1
103566,1,1,1,1,1,1,1,1,1
103568,4,4,4,4,4,4,1,1,1
103577,,,,,,,,,
103582,,,,,,,,,
103595,,,,,,,,,
103596,,,,,,,,,
103598,,,,,,,,,
103600,,,,,,,,,
103609,,,,,,,,,
103613,,,,,,,,,
103635,,,,,,,,,
103645,,,,,,,,,
103650,,,,,,,,,
103657,,,,,,,,,
103659,,,,,,,,,
103669,,,,,,,,,
103679,,,,,,,,,
103690,,,,,,,,,
103698,,,,,,,,,
103713,,,,,,,,,
103715,,,,,,,,,
103718,,,,,,,,,
103725,,,,,,,,,
103747,,,,,,,,,
103773,,,,,,,,,
103781,,,,,,,,,
103803,,,,,,,,,
103819,,,,,,,,,
103837,,,,,,,,,
103848,,,,,,,,,
103853,4,4,4,4,4,4,1,1,1
103870,,,,,,,,,
103890,4,4,4,4,4,4,1,1,1
103900,,,,,,,,,
103905,1,1,1,1,1,1,1,1,1
103917,,,,,,,,,
103923,,,,,,,,,
103926,,,,,,,,,
103935,,,,,,,,,
103941,,,,,,,,,
103963,,,,,,,,,
103968,,,,,,,,,
103976,,,,,,,,,
103982,,,,,,,,,
103988,,,,,,,,,
104006,,,,,,,,,
104007,,,,,,,,,
104023,,,,,,,,,
104027,1,1,1,1,1,1,1,1,1
104030,,,,,,,,,
104036,3,3,3,3,3,3,3,2,1
104040,,,,,,,,,
104052,,,,,,,,,
104062,,,,,,,,,
104071,,,,,,,,,
104109,,,,,,,,,
104115,,,,,,,,,
104137,1,1,1,1,1,1,1,1,1
104142,,,,,,,,,
104146,,,,,,,,,
104154,,,,,,,,,
104162,,,,,,,,,
104180,,,,,,,,,
104185,4,4,4,4,4,4,1,1,1
104199,,,,,,,,,
104204,,,,,,,,,
104205,,,,,,,,,
104213,1,1,1,1,1,1,1,1,1
104220,,,,,,,,,
104222,,,,,,,,,
104223,,,,,,,,,
104224,,,,,,,,,
104230,,,,,,,,,
104234,,,,,,,,,
104248,,,,,,,,,
104255,,,,,,,,,
104263,,,,,,,,,
104280,,,,,,,,,
104282,,,,,,,,,
104283,1,1,1,1,1,1,1,1,1
104302,,,,,,,,,
104306,,,,,,,,,
104311,,,,,,,,,
104319,,,,,,,,,
104326,,,,,,,,,
104328,,,,,,,,,
104340,,,,,,,,,
104348,,,,,,,,,
104349,1,1,1,1,1,1,1,1,1
104350,,,,,,,,,
104375,,,,,,,,,
104376,,,,,,,,,
104380,5,5,5,5,5,4,1,1,1
104385,,,,,,,,,
104389,,,,,,,,,
104392,,,,,,,,,
104398,,,,,,,,,
104405,,,,,,,,,
104406,,,,,,,,,
104408,,,,,,,,,
104416,,,,,,,,,
104418,,,,,,,,,
104439,,,,,,,,,
104449,,,,,,,,,
104460,,,,,,,,,
104462,,,,,,,,,
104464,,,,,,,,,
104475,,,,,,,,,
104482,,,,,,,,,
104483,,,,,,,,,
104492,,,,,,,,,
104496,4,4,4,4,4,4,1,1,1
104499,1,1,1,1,1,1,1,1,1
104513,,,,,,,,,
104514,,,,,,,,,
104525,,,,,,,,,
104542,,,,,,,,,
104551,,,,,,,,,
104553,,,,,,,,,
104555,,,,,,,,,
104564,1,1,1,1,1,1,1,1,1
104572,,,,,,,,,
104614,1,1,1,1,1,1,1,1,1
104663,,,,,,,,,
104667,,,,,,,,,
104668,,,,,,,,,
104669,,,,,,,,,
104671,,,,,,,,,
104676,,,,,,,,,
104677,,,,,,,,,
104697,4,4,4,4,4,4,1,1,1
104699,,,,,,,,,
104701,,,,,,,,,
104719,,,,,,,,,
104730,,,,,,,,,
104731,,,,,,,,,
104734,,,,,,,,,
104751,,,,,,,,,
104757,,,,,,,,,
104763,,,,,,,,,
104768,,,,,,,,,
104770,,,,,,,,,
104789,,,,,,,,,
104792,2,2,2,2,2,2,2,2,1
104818,,,,,,,,,
104825,,,,,,,,,
104827,,,,,,,,,
104828,,,,,,,,,
104838,,,,,,,,,
104840,3,3,3,3,3,3,3,2,1
104850,,,,,,,,,
104857,2,2,2,2,2,2,2,2,1
104863,,,,,,,,,
104864,,,,,,,,,
104869,,,,,,,,,
104879,,,,,,,,,
104917,,,,,,,,,
104924,,,,,,,,,
104938,7,7,6,6,3,3,3,2,1
104941,,,,,,,,,
104949,,,,,,,,,
104953,1,1,1,1,1,1,1,1,1
104960,,,,,,,,,
104972,,,,,,,,,
