hhnum,usdafoodcat4,grams,totitemexp,price_per_100g,price_source,num_milk_types
100155,1004,3904.0,2.89,0.07402663934426229,observed,1
100155,1006,0.0,0.0,0.07633196721311475,cell,1
100155,1008,0.0,0.0,0.07633782679738563,cell,1
100158,1002,0.0,0.0,0.10860655737704919,cell,1
100158,1004,7808.0,3.24,0.04149590163934427,observed,1
100158,1006,0.0,0.0,0.06608606557377049,cell,1
100158,1008,0.0,0.0,0.07608251633986929,cell,1
100159,1002,0.0,0.0,0.08427254098360656,cell,1
100159,1004,3904.0,0.0,0.07146516393442623,cell,1
100159,1006,0.0,0.0,0.09195696721311475,cell,1
100159,1008,0.0,0.0,0.08016748366013071,placetype,1
100163,1002,0.0,0.0,0.09964139344262296,cell,1
100163,1004,7808.0,2.99,0.03829405737704918,observed,1
100163,1006,0.0,0.0,0.08913934426229508,cell,1
100163,1008,0.0,0.0,0.09012459150326797,cell,1
100174,1002,3904.0,1.99,0.05097336065573771,observed,2
100174,1004,3904.0,7.46,0.1910860655737705,observed,2
100174,1006,0.0,0.0,0.09554303278688525,cell,2
100174,1008,0.0,0.0,0.09395424836601307,cell,2
100192,1002,7808.0,5.18,0.06634221311475409,observed,2
100192,1004,7808.0,-996.0,0.07287397540983608,cell,2
100192,1006,0.0,0.0,0.061219262295081976,placetype_rural_nonmetro,2
100192,1008,0.0,0.0,0.05642361111111111,cell,2
100194,1002,0.0,0.0,0.07914959016393443,cell,0
100194,1004,0.0,2.59,0.08286372950819672,cell,0
100194,1006,0.0,0.0,0.08939549180327869,cell,0
100194,1008,0.0,0.0,0.07097630718954247,cell,0
100203,1002,0.0,0.0,0.09554303278688525,cell,1
100203,1004,9760.0,12.08,0.12377049180327868,observed,1
100203,1006,0.0,0.0,0.10220286885245901,cell,1
100203,1008,0.0,0.0,0.1095281862745098,cell,1
100207,1002,0.0,0.0,0.09682377049180327,cell,0
100207,1004,0.0,7.470000000000001,0.09182889344262295,cell,0
100207,1006,0.0,0.0,0.08913934426229508,cell,0
100207,1008,0.0,2.49,0.08552900326797384,cell,0
100210,1002,0.0,0.0,0.09451844262295081,cell,1
100210,1004,3904.0,3.57,0.09144467213114754,observed,1
100210,1006,0.0,0.0,0.09042008196721311,placetype_rural_nonmetro,1
100210,1008,0.0,0.0,0.08680555555555555,cell,1
100214,1002,0.0,3.48,0.09964139344262296,cell,0
100214,1004,0.0,0.0,0.08427254098360656,cell,0
100214,1006,0.0,0.0,0.08913934426229508,cell,0
100214,1008,0.0,0.0,0.09012459150326797,cell,0
100228,1002,244.8,0.38,0.15522875816993464,observed,1
100228,1004,0.0,0.0,0.09182889344262295,cell,1
100228,1006,0.0,0.0,0.08913934426229508,cell,1
100228,1008,0.0,0.0,0.08552900326797384,cell,1
100229,1002,0.0,0.0,0.07914959016393443,cell,1
100229,1004,7808.0,5.98,0.07658811475409837,observed,1
100229,1006,0.0,0.0,0.08939549180327869,cell,1
100229,1008,0.0,0.0,0.07097630718954247,cell,1
100238,1002,0.0,0.0,0.07914959016393443,cell,0
100238,1004,0.0,0.0,0.08286372950819672,cell,0
100238,1006,0.0,0.0,0.08939549180327869,cell,0
100238,1008,0.0,2.98,0.07097630718954247,cell,0
100240,1002,0.0,0.0,0.07914959016393443,cell,1
100240,1004,3904.0,3.28,0.08401639344262295,observed,1
100240,1006,0.0,0.0,0.08939549180327869,cell,1
100240,1008,0.0,0.0,0.07097630718954247,cell,1
100244,1002,3904.0,4.37,0.11193647540983606,observed,1
100244,1004,0.0,0.0,0.09451844262295081,cell,1
100244,1006,0.0,0.0,0.14036885245901642,cell,1
100244,1008,0.0,0.0,0.0967626633986928,cell,1
100255,1002,0.0,0.0,0.10860655737704919,cell,1
100255,1004,3904.0,9.58,0.24538934426229508,observed,1
100255,1006,0.0,0.0,0.06608606557377049,cell,1
100255,1008,0.0,0.0,0.07608251633986929,cell,1
100268,1002,7808.0,5.96,0.07633196721311475,observed,2
100268,1004,7808.0,5.96,0.07633196721311475,observed,2
100268,1006,0.0,0.0,0.061219262295081976,placetype_rural_nonmetro,2
100268,1008,0.0,0.0,0.07250816993464052,cell,2
100273,1002,0.0,0.0,0.07658811475409837,cell,1
100273,1004,7808.0,6.76,0.08657786885245901,observed,1
100273,1006,0.0,0.0,0.09707991803278689,cell,1
100273,1008,0.0,0.0,0.07123161764705882,cell,1
100274,1002,0.0,0.0,0.208994708994709,cell,1
100274,1004,0.0,0.0,0.08913934426229508,cell,1
100274,1006,0.0,0.0,0.10015368852459017,cell,1
100274,1008,1958.4,1.78,0.09089052287581699,observed,1
100276,1002,0.0,0.0,0.0932377049180328,placetype,1
100276,1004,0.0,0.0,0.07530737704918034,cell,1
100276,1006,0.0,0.0,0.050717213114754106,cell,1
100276,1008,3916.8,1.66,0.04238153594771241,observed,1
100292,1002,0.0,0.0,0.10245901639344263,cell,1
100292,1004,0.0,0.0,0.08171106557377049,cell,1
100292,1006,0.0,0.0,0.09221311475409837,placetype_rural_nonmetro,1
100292,1008,11750.400000000001,3.09,0.026296977124183,observed,1
100304,1002,1952.0,0.99,0.050717213114754106,observed,1
100304,1004,0.0,0.0,0.09182889344262295,cell,1
100304,1006,0.0,0.0,0.08913934426229508,cell,1
100304,1008,0.0,0.0,0.08552900326797384,cell,1
100317,1002,4880.0,4.98,0.10204918032786887,observed,1
100317,1004,0.0,0.0,0.09182889344262295,cell,1
100317,1006,0.0,0.0,0.07402663934426229,cell,1
100317,1008,0.0,0.0,0.12714460784313725,cell,1
100322,1002,0.0,0.0,0.09733606557377049,cell,0
100322,1004,0.0,3.29,0.09451844262295081,cell,0
100322,1006,0.0,0.0,0.14036885245901642,cell,0
100322,1008,0.0,0.0,0.0967626633986928,cell,0
100323,1002,0.0,0.0,0.10860655737704919,cell,1
100323,1004,976.0,1.39,0.14241803278688525,observed,1
100323,1006,0.0,0.0,0.06608606557377049,cell,1
100323,1008,0.0,0.0,0.07608251633986929,cell,1
100325,1002,0.0,0.0,0.1014344262295082,cell,1
100325,1004,1952.0,2.09,0.10706967213114753,observed,1
100325,1006,0.0,0.0,0.05609631147540983,cell,1
100325,1008,0.0,0.0,0.08986928104575163,cell,1
100337,1002,0.0,1.35,0.09554303278688525,cell,0
100337,1004,0.0,0.0,0.09682377049180327,cell,0
100337,1006,0.0,0.0,0.10220286885245901,cell,0
100337,1008,0.0,0.0,0.1095281862745098,cell,0
100360,1002,3904.0,5.08,0.13012295081967212,observed,1
100360,1004,0.0,0.0,0.09182889344262295,cell,1
100360,1006,0.0,0.0,0.08913934426229508,cell,1
100360,1008,0.0,0.0,0.08552900326797384,cell,1
100363,1002,0.0,0.0,0.11385758196721311,cell,2
100363,1004,23424.0,10.07,0.042990095628415305,observed,2
100363,1006,0.0,0.0,0.15317622950819673,cell,2
100363,1008,979.2,0.99,0.10110294117647058,observed,2
100373,1002,3904.0,2.99,0.07658811475409837,observed,1
100373,1004,0.0,0.0,0.09182889344262295,cell,1
100373,1006,0.0,0.0,0.07402663934426229,cell,1
100373,1008,0.0,0.0,0.12714460784313725,cell,1
100381,1002,0.0,0.0,0.09733606557377049,cell,1
100381,1004,7808.0,4.98,0.06378073770491804,observed,1
100381,1006,0.0,0.0,0.14036885245901642,cell,1
100381,1008,0.0,0.0,0.0967626633986928,cell,1
100384,1002,0.0,0.0,0.07274590163934426,cell,1
100384,1004,7808.0,2.59,0.033171106557377046,observed,1
100384,1006,0.0,0.0,0.07633196721311475,cell,1
100384,1008,0.0,0.0,0.07633782679738563,cell,1
100391,1002,0.0,0.0,0.07889344262295082,cell,1
100391,1004,0.0,0.0,0.07402663934426229,cell,1
100391,1006,3904.0,2.42,0.06198770491803279,observed,1
100391,1008,0.0,0.0,0.062168096405228745,cell,1
100406,1002,0.0,0.0,0.09682377049180327,cell,1
100406,1004,1952.0,1.82,0.09323770491803278,observed,1
100406,1006,0.0,0.0,0.08913934426229508,cell,1
100406,1008,0.0,0.0,0.08552900326797384,cell,1
100419,1002,0.0,0.0,0.07889344262295082,cell,1
100419,1004,11712.0,7.17,0.06121926229508196,observed,1
100419,1006,0.0,0.0,0.07889344262295081,cell,1
100419,1008,0.0,0.0,0.062168096405228745,cell,1
100426,1002,11712.0,0.0,0.09707991803278689,cell,1
100426,1004,0.0,0.0,0.08939549180327869,cell,1
100426,1006,0.0,0.0,0.11731557377049182,placetype_rural_nonmetro,1
100426,1008,0.0,0.0,0.08399714052287581,placetype,1
100436,1002,0.0,8.97,0.10860655737704919,cell,0
100436,1004,0.0,0.0,0.07146516393442623,cell,0
100436,1006,0.0,0.0,0.06608606557377049,cell,0
100436,1008,0.0,0.0,0.07608251633986929,cell,0
100438,1002,0.0,0.0,0.09554303278688525,cell,2
100438,1004,1952.0,1.98,0.10143442622950821,observed,2
100438,1006,0.0,0.0,0.10220286885245901,cell,2
100438,1008,3916.8,5.76,0.14705882352941177,observed,2
100442,1002,0.0,0.0,0.10040983606557376,cell,1
100442,1004,0.0,0.0,0.09323770491803278,cell,1
100442,1006,0.0,0.0,0.08965163934426229,cell,1
100442,1008,5875.200000000001,6.49,0.11046432461873637,observed,1
100444,1002,7808.0,3.29,0.04213627049180328,observed,2
100444,1004,3904.0,0.0,0.09682377049180327,cell,2
100444,1006,0.0,0.0,0.10220286885245901,cell,2
100444,1008,0.0,0.0,0.1095281862745098,cell,2
100446,1002,0.0,0.0,0.09938524590163934,global,1
100446,1004,0.0,0.0,0.08913934426229508,global,1
100446,1006,0.0,0.0,0.08939549180327869,global,1
100446,1008,3916.8,-996.0,0.08910334967320262,global,1
100457,1002,0.0,0.0,0.11385758196721311,cell,1
100457,1004,1952.0,1.45,0.0742827868852459,observed,1
100457,1006,0.0,0.0,0.15317622950819673,cell,1
100457,1008,0.0,0.0,0.08833741830065359,cell,1
100459,1002,0.0,0.0,0.10860655737704919,cell,2
100459,1004,1952.0,2.29,0.11731557377049182,observed,2
100459,1006,0.0,0.0,0.06608606557377049,cell,2
100459,1008,1958.4,2.19,0.11182598039215685,observed,2
100460,1002,7808.0,6.18,0.07914959016393443,observed,1
100460,1004,0.0,0.0,0.09682377049180327,cell,1
100460,1006,0.0,0.0,0.10220286885245901,cell,1
100460,1008,0.0,0.0,0.1095281862745098,cell,1
100464,1002,0.0,0.0,0.09682377049180327,cell,1
100464,1004,3904.0,0.0,0.09182889344262295,cell,1
100464,1006,0.0,0.0,0.08913934426229508,cell,1
100464,1008,0.0,0.0,0.08552900326797384,cell,1
100485,1002,0.0,0.0,0.09964139344262296,cell,1
100485,1004,3904.0,3.53,0.09042008196721311,observed,1
100485,1006,0.0,0.0,0.08913934426229508,cell,1
100485,1008,0.0,0.0,0.09012459150326797,cell,1
100487,1002,3904.0,2.99,0.07658811475409837,observed,1
100487,1004,0.0,0.0,0.09682377049180327,cell,1
100487,1006,0.0,0.0,0.10220286885245901,cell,1
100487,1008,0.0,0.0,0.1095281862745098,cell,1
100502,1002,0.0,0.0,0.10578893442622951,cell,1
100502,1004,3904.0,3.78,0.09682377049180327,observed,1
100502,1006,0.0,0.0,0.09554303278688525,cell,1
100502,1008,0.0,0.0,0.09395424836601307,cell,1
100504,1002,0.0,0.0,0.07658811475409837,cell,1
100504,1004,3904.0,1.99,0.05097336065573771,observed,1
100504,1006,0.0,0.0,0.09707991803278689,cell,1
100504,1008,0.0,0.0,0.07123161764705882,cell,1
100509,1002,0.0,0.0,0.07889344262295082,cell,1
100509,1004,0.0,0.0,0.07402663934426229,cell,1
100509,1006,0.0,0.0,0.07889344262295081,cell,1
100509,1008,1958.4,2.09,0.10671977124183006,observed,1
100513,1002,0.0,0.0,0.07658811475409837,cell,1
100513,1004,0.0,0.0,0.07274590163934426,cell,1
100513,1006,7808.0,6.98,0.08939549180327869,observed,1
100513,1008,0.0,0.0,0.08910334967320262,cell,1
100520,1002,3904.0,3.79,0.09707991803278689,observed,1
100520,1004,0.0,0.0,0.09323770491803278,cell,1
100520,1006,0.0,0.0,0.08965163934426229,cell,1
100520,1008,0.0,0.0,0.09140114379084967,cell,1
100529,1002,1952.0,2.57,0.13165983606557377,observed,1
100529,1004,0.0,0.0,0.10194672131147542,cell,1
100529,1006,0.0,0.0,0.08913934426229508,cell,1
100529,1008,0.0,0.0,0.09906045751633986,cell,1
100533,1002,1952.0,2.14,0.1096311475409836,observed,2
100533,1004,0.0,0.0,0.09182889344262295,cell,2
100533,1006,0.0,0.0,0.08913934426229508,cell,2
100533,1008,3916.8,2.39,0.06101919934640523,observed,2
100539,1002,0.0,0.0,0.10040983606557376,cell,1
100539,1004,1952.0,1.65,0.08452868852459017,observed,1
100539,1006,0.0,0.0,0.08965163934426229,cell,1
100539,1008,0.0,0.0,0.09140114379084967,cell,1
