hhnum,1002,1004,1006,1008
100012,3904.0,0.0,0.0,0.0
100015,0.0,3904.0,0.0,0.0
100024,0.0,0.0,3904.0,0.0
100028,3904.0,0.0,0.0,0.0
100040,0.0,1952.0,0.0,0.0
100049,3904.0,0.0,0.0,0.0
100054,0.0,0.0,0.0,0.0
100055,0.0,3904.0,0.0,0.0
100059,0.0,3904.0,0.0,0.0
100061,0.0,1952.0,0.0,0.0
100067,0.0,3904.0,0.0,0.0
100069,0.0,0.0,0.0,0.0
100076,0.0,0.0,1952.0,0.0
100083,0.0,1952.0,0.0,0.0
100088,979.2,7808.0,0.0,0.0
100093,0.0,0.0,3904.0,0.0
100095,3904.0,0.0,0.0,0.0
100104,0.0,0.0,976.0,0.0
100132,0.0,0.0,0.0,0.0
100135,0.0,7808.0,0.0,0.0
100138,0.0,23424.0,0.0,0.0
100148,0.0,3904.0,0.0,0.0
100150,1952.0,0.0,0.0,0.0
100151,0.0,1952.0,0.0,0.0
100155,0.0,3904.0,0.0,0.0
100158,0.0,7808.0,0.0,0.0
100159,0.0,3904.0,0.0,0.0
100163,0.0,7808.0,0.0,0.0
100174,3904.0,3904.0,0.0,0.0
100192,7808.0,7808.0,0.0,0.0
100194,0.0,0.0,0.0,0.0
100203,0.0,9760.0,0.0,0.0
100207,0.0,0.0,0.0,0.0
100210,0.0,3904.0,0.0,0.0
100214,0.0,0.0,0.0,0.0
100228,244.8,0.0,0.0,0.0
100229,0.0,7808.0,0.0,0.0
100238,0.0,0.0,0.0,0.0
100240,0.0,3904.0,0.0,0.0
100244,3904.0,0.0,0.0,0.0
100255,0.0,3904.0,0.0,0.0
100268,7808.0,7808.0,0.0,0.0
100273,0.0,7808.0,0.0,0.0
100274,0.0,0.0,0.0,1958.4
100276,0.0,0.0,0.0,3916.8
100292,0.0,0.0,0.0,11750.400000000001
100304,1952.0,0.0,0.0,0.0
100317,4880.0,0.0,0.0,0.0
100322,0.0,0.0,0.0,0.0
100323,0.0,976.0,0.0,0.0
100325,0.0,1952.0,0.0,0.0
100337,0.0,0.0,0.0,0.0
100360,3904.0,0.0,0.0,0.0
100363,0.0,23424.0,0.0,979.2
100373,3904.0,0.0,0.0,0.0
100381,0.0,7808.0,0.0,0.0
100384,0.0,7808.0,0.0,0.0
100391,0.0,0.0,3904.0,0.0
100406,0.0,1952.0,0.0,0.0
100419,0.0,11712.0,0.0,0.0
100426,11712.0,0.0,0.0,0.0
100436,0.0,0.0,0.0,0.0
100438,0.0,1952.0,0.0,3916.8
100442,0.0,0.0,0.0,5875.200000000001
100444,7808.0,3904.0,0.0,0.0
100446,0.0,0.0,0.0,3916.8
100457,0.0,1952.0,0.0,0.0
100459,0.0,1952.0,0.0,1958.4
100460,7808.0,0.0,0.0,0.0
100464,0.0,3904.0,0.0,0.0
100485,0.0,3904.0,0.0,0.0
100487,3904.0,0.0,0.0,0.0
100502,0.0,3904.0,0.0,0.0
100504,0.0,3904.0,0.0,0.0
100509,0.0,0.0,0.0,1958.4
100513,0.0,0.0,7808.0,0.0
100520,3904.0,0.0,0.0,0.0
100529,1952.0,0.0,0.0,0.0
100533,1952.0,0.0,0.0,3916.8
100539,0.0,1952.0,0.0,0.0
100545,1952.0,0.0,0.0,0.0
100554,1952.0,0.0,0.0,0.0
100558,0.0,3904.0,0.0,0.0
100562,0.0,0.0,3904.0,0.0
100568,15616.0,0.0,0.0,0.0
100580,0.0,0.0,0.0,0.0
100584,3904.0,0.0,0.0,0.0
100594,1958.4,7808.0,0.0,0.0
100622,3904.0,0.0,0.0,0.0
100623,0.0,0.0,0.0,15667.2
100633,0.0,7808.0,0.0,0.0
100641,7808.0,0.0,0.0,0.0
100649,0.0,3904.0,0.0,0.0
100664,0.0,0.0,0.0,3916.8
100666,3904.0,0.0,0.0,0.0
100681,0.0,0.0,0.0,0.0
100686,0.0,0.0,0.0,9792.0
100689,4883.2,976.0,0.0,0.0
100690,0.0,3904.0,0.0,0.0
100692,0.0,3904.0,0.0,0.0
100693,0.0,0.0,0.0,1958.4
100697,0.0,7808.0,0.0,0.0
100700,0.0,3904.0,0.0,0.0
100714,1952.0,0.0,0.0,0.0
100720,0.0,3904.0,0.0,0.0
100726,0.0,1952.0,0.0,0.0
100742,0.0,3904.0,0.0,0.0
100753,3904.0,0.0,0.0,0.0
100768,0.0,3898.418665554,0.0,0.0
100781,0.0,4880.0,0.0,384.0
100783,0.0,7808.0,0.0,0.0
100792,1952.0,1952.0,0.0,0.0
100796,0.0,976.0,0.0,0.0
100799,0.0,0.0,3904.0,0.0
100805,7808.0,0.0,0.0,0.0
100810,0.0,3904.0,0.0,0.0
100816,0.0,0.0,7808.0,0.0
100841,0.0,3904.0,0.0,0.0
100843,0.0,453.59,0.0,0.0
100845,0.0,3904.0,0.0,0.0
100857,0.0,0.0,0.0,7833.6
100875,1890.0,0.0,0.0,0.0
100885,0.0,3904.0,0.0,0.0
100888,7808.0,0.0,3904.0,0.0
100900,3904.0,0.0,0.0,0.0
100901,3904.0,0.0,0.0,0.0
100905,0.0,0.0,0.0,7833.6
100917,0.0,0.0,0.0,0.0
100929,3904.0,0.0,0.0,0.0
100934,0.0,3904.0,0.0,0.0
100953,0.0,0.0,0.0,3916.8
100958,0.0,0.0,0.0,3916.8
100974,0.0,3904.0,0.0,0.0
100984,0.0,3904.0,0.0,0.0
