hhnum,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15
100693,1,2,1,2,4,6,3,3,3,3,3,10,1,2,4
100697,1,2,2,1,3,4,6,6,6,6,6,6,3,2,3
100700,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
100714,1,1,2,2,2,2,2,2,2,2,2,1,3,1,1
100720,1,2,2,1,4,1,2,2,2,2,2,1,1,1,1
100726,1,2,3,1,2,2,1,1,1,1,1,2,2,1,1
100742,1,1,1,2,2,1,1,1,1,1,1,2,4,6,10
100753,1,2,1,2,1,3,4,4,4,4,4,10,6,4,7
100768,1,1,2,1,2,2,2,2,2,2,2,2,4,2,1
100781,1,2,1,2,2,4,1,1,1,1,1,1,1,2,6
100783,1,2,1,2,1,2,1,1,1,1,1,5,1,1,2
100792,1,1,1,3,1,3,6,6,6,6,6,1,1,4,5
100796,1,1,2,2,2,2,1,1,1,1,1,9,6,3,3
100799,1,1,2,1,3,1,2,2,2,2,2,2,1,1,1
100805,1,2,2,2,3,2,1,1,1,1,1,1,1,1,4
100810,1,2,2,1,1,1,1,1,1,1,1,2,4,6,10
100816,1,1,3,1,1,1,3,3,3,3,3,3,1,1,1
100841,1,1,1,2,1,1,2,2,2,2,2,3,1,2,1
100843,1,1,2,2,4,1,1,1,1,1,1,2,8,9,3
100845,1,1,1,2,1,1,2,2,2,2,2,2,1,1,1
100857,1,2,1,1,1,3,5,5,5,5,5,3,1,1,1
100875,1,2,2,3,2,3,4,4,4,4,4,8,3,4,13
100885,1,1,1,1,1,2,2,2,2,2,2,4,1,2,1
100888,1,2,3,1,2,1,1,1,1,1,1,6,5,4,2
100900,1,1,1,2,3,3,4,4,4,4,4,3,1,1,1
100901,1,1,1,1,1,5,6,6,6,6,6,7,1,4,2
100905,1,1,3,1,4,6,1,1,1,1,1,11,10,7,5
100917,,,,,,,,,,,,,,,
100929,1,1,2,2,1,1,2,2,2,2,2,1,1,1,2
100934,1,1,1,1,2,4,1,1,1,1,1,5,4,2,1
100953,1,2,1,1,1,4,3,3,3,3,3,6,1,1,2
100958,1,1,3,2,2,6,3,3,3,3,3,2,2,2,2
100974,1,1,1,2,2,4,1,1,1,1,1,3,1,1,1
100984,1,1,2,1,2,4,5,5,5,5,5,2,1,1,1
100985,,,,,,,,,,,,,,,
100992,1,1,2,2,2,2,3,3,3,3,3,6,1,1,1
101011,1,1,1,1,1,2,3,3,3,3,3,3,1,1,1
101018,1,1,1,3,4,1,1,1,1,1,1,5,3,6,5
101020,1,1,1,1,3,3,2,2,2,2,2,4,1,1,1
101024,1,1,3,1,1,2,2,2,2,2,2,1,1,2,1
101046,1,1,1,2,2,3,5,5,5,5,5,7,3,4,5
101056,1,2,1,2,4,1,1,1,1,1,1,3,4,2,3
101061,,,,,,,,,,,,,,,
101062,1,2,1,1,1,1,2,2,2,2,2,3,2,3,3
101063,1,2,1,1,4,1,1,1,1,1,1,2,1,2,1
101094,1,2,3,2,1,2,1,1,1,1,1,4,4,2,1
101112,1,1,1,1,1,2,5,5,5,5,5,2,1,1,1
101125,1,1,1,3,2,2,5,5,5,5,5,6,1,1,4
101130,1,2,1,2,2,1,2,2,2,2,2,3,1,1,1
101134,1,2,3,2,2,4,2,2,2,2,2,1,3,4,5
101141,,,,,,,,,,,,,,,
101148,,,,,,,,,,,,,,,
101151,1,1,1,1,1,2,6,6,6,6,6,2,1,1,1
101154,1,2,2,2,1,1,6,6,6,6,6,5,4,6,2
101175,1,2,2,1,2,2,2,2,2,2,2,4,3,1,1
