k,total_loss,merged_groups,merge_cost,varian_merged
9,0.0,,,
8,0.6575527831700897,8+9,0.6575527831700897,0.9402224742572646
7,1.7073559525208504,6+7,1.0498031693507606,0.95228167412042
6,4.257278488619855,5+8,2.5499225360990048,0.8930841560243635
5,7.383009773893699,3+6,3.1257312852738437,0.9072103454527866
4,13.154481677143078,4+5,5.771471903249378,0.8396616567407416
3,19.143799597810144,1+4,5.989317920667068,0.9114303837681329
2,26.36837565002833,2+3,7.224576052218185,0.8760857553604045
1,37.11745548805536,1+2,10.749079838027033,0.8577875268656883
